,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1168,822,2494,2.7039999999999997,0.6990000000000001,0.159,0.034,21,1.6
1,G&S_occipital_inf,1244,804,2481,2.701,0.508,0.129,0.024,15,1.1
2,G&S_paracentral,1707,941,2588,2.376,0.45,0.105,0.021,16,1.4
3,G&S_subcentral,1359,924,3080,2.963,0.44299999999999995,0.132,0.023,16,1.2
4,G&S_transv_frontopol,1300,927,2952,2.6489999999999996,0.682,0.18100000000000002,0.046,35,2.6
5,G&S_cingul-Ant,3602,2482,7153,2.707,0.54,0.122,0.023,46,3.2
6,G&S_cingul-Mid-Ant,1952,1292,3620,2.62,0.49700000000000005,0.125,0.022000000000000002,24,1.8
7,G&S_cingul-Mid-Post,1791,1211,3275,2.582,0.484,0.129,0.027000000000000003,28,2.0
8,G_cingul-Post-dorsal,659,425,1678,2.98,0.546,0.165,0.032,14,0.8
9,G_cingul-Post-ventral,388,227,928,2.835,0.688,0.128,0.033,7,0.4
10,G_cuneus,3077,1947,4305,2.026,0.5329999999999999,0.146,0.034,49,4.0
11,G_front_inf-Opercular,1178,750,3313,3.1430000000000002,0.425,0.114,0.022000000000000002,16,1.0
12,G_front_inf-Orbital,397,260,1142,3.034,0.41600000000000004,0.132,0.025,5,0.4
13,G_front_inf-Triangul,1180,738,2761,2.781,0.47,0.126,0.027000000000000003,19,1.2
14,G_front_middle,5399,3456,12202,2.707,0.488,0.146,0.033,108,7.3
15,G_front_sup,6716,4296,16300,2.966,0.5479999999999999,0.125,0.025,92,6.3
16,G_Ins_lg&S_cent_ins,565,386,1458,3.3489999999999998,0.634,0.131,0.03,8,0.5
17,G_insular_short,885,563,2322,3.1439999999999997,1.022,0.13699999999999998,0.073,19,3.1
18,G_occipital_middle,2556,1578,5646,2.679,0.45299999999999996,0.136,0.026000000000000002,42,2.6
19,G_occipital_sup,1770,1084,3549,2.551,0.46799999999999997,0.132,0.024,24,1.8
20,G_oc-temp_lat-fusifor,1861,1150,4653,3.005,0.47100000000000003,0.135,0.03,35,2.0
21,G_oc-temp_med-Lingual,3215,2049,5636,2.3480000000000003,0.7,0.152,0.042,57,5.0
22,G_oc-temp_med-Parahip,1433,942,4672,3.533,0.7120000000000001,0.10800000000000001,0.027000000000000003,14,1.4
23,G_orbital,3265,2196,8293,2.799,0.765,0.14400000000000002,0.042,68,5.2
24,G_pariet_inf-Angular,3605,2264,8784,2.8339999999999996,0.521,0.136,0.028999999999999998,61,4.3
25,G_pariet_inf-Supramar,2694,1737,5839,2.8360000000000003,0.40299999999999997,0.121,0.022000000000000002,36,2.5
26,G_parietal_sup,2047,1272,4754,2.824,0.531,0.11699999999999999,0.021,26,1.7
27,G_postcentral,2335,1252,3471,2.188,0.48200000000000004,0.107,0.019,28,1.9
28,G_precentral,3454,1950,7939,3.015,0.552,0.10099999999999999,0.021,36,3.0
29,G_precuneus,2496,1594,6081,2.862,0.456,0.138,0.028999999999999998,42,2.7
30,G_rectus,974,696,2549,2.701,0.657,0.136,0.034,20,1.4
31,G_subcallosal,214,154,545,3.299,0.49700000000000005,0.107,0.038,2,0.2
