,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1007,693,2041,2.657,0.578,0.165,0.04,22,1.6
1,G&S_occipital_inf,1224,799,3780,3.319,0.648,0.128,0.028999999999999998,15,1.2
2,G&S_paracentral,1158,742,2416,2.634,0.723,0.115,0.025,14,1.1
3,G&S_subcentral,1533,1024,3229,2.772,0.414,0.125,0.024,22,1.4
4,G&S_transv_frontopol,1115,740,2330,2.52,0.462,0.166,0.044000000000000004,33,2.0
5,G&S_cingul-Ant,2588,1780,5520,2.9160000000000004,0.469,0.129,0.027999999999999997,35,2.9
6,G&S_cingul-Mid-Ant,926,643,1900,2.7910000000000004,0.42700000000000005,0.114,0.021,9,0.8
7,G&S_cingul-Mid-Post,1090,759,2296,2.798,0.43200000000000005,0.12,0.027999999999999997,14,1.1
8,G_cingul-Post-dorsal,470,321,1310,3.074,0.561,0.174,0.052000000000000005,11,1.0
9,G_cingul-Post-ventral,282,178,687,2.773,0.601,0.14,0.032,5,0.2
10,G_cuneus,2086,1331,3220,2.032,0.451,0.155,0.04,39,3.2
11,G_front_inf-Opercular,1374,913,3488,2.861,0.439,0.128,0.031,25,1.6
12,G_front_inf-Orbital,426,254,978,2.7910000000000004,0.29100000000000004,0.133,0.031,8,0.5
13,G_front_inf-Triangul,912,616,2298,2.725,0.483,0.138,0.03,17,1.0
14,G_front_middle,4497,3009,10420,2.687,0.413,0.14400000000000002,0.034,87,6.2
15,G_front_sup,5179,3484,13539,3.08,0.445,0.13,0.027000000000000003,68,5.7
16,G_Ins_lg&S_cent_ins,628,457,1751,3.48,0.94,0.152,0.047,10,1.4
17,G_insular_short,543,330,1686,3.5039999999999996,0.705,0.128,0.043,10,0.9
18,G_occipital_middle,2467,1568,5996,2.833,0.619,0.14,0.031,45,3.0
19,G_occipital_sup,1123,725,2150,2.312,0.484,0.129,0.027999999999999997,17,1.1
20,G_oc-temp_lat-fusifor,1857,1185,4519,3.011,0.649,0.14,0.043,32,3.0
21,G_oc-temp_med-Lingual,2566,1652,5101,2.4459999999999997,0.649,0.151,0.040999999999999995,51,3.9
22,G_oc-temp_med-Parahip,1172,762,3817,3.427,0.8270000000000001,0.114,0.033,14,1.2
23,G_orbital,2663,1765,6715,2.873,0.601,0.146,0.034,56,3.8
24,G_pariet_inf-Angular,2622,1709,6718,2.918,0.484,0.147,0.035,58,3.6
25,G_pariet_inf-Supramar,2629,1757,6410,2.886,0.455,0.133,0.028999999999999998,40,3.0
26,G_parietal_sup,2582,1653,5205,2.503,0.381,0.13699999999999998,0.026000000000000002,43,2.7
27,G_postcentral,1850,1165,3331,2.248,0.473,0.121,0.027999999999999997,25,2.0
28,G_precentral,2324,1421,5692,2.98,0.359,0.111,0.022000000000000002,27,2.2
29,G_precuneus,2892,1878,6147,2.6519999999999997,0.452,0.136,0.031,48,3.5
30,G_rectus,579,412,1487,2.536,0.631,0.14400000000000002,0.037000000000000005,15,0.8
31,G_subcallosal,317,210,600,2.716,0.804,0.125,0.057,8,0.6
32,G_temp_sup-G_T_transv,420,262,819,2.642,0.517,0.127,0.027999999999999997,5,0.5
33,G_temp_sup-Lateral,1988,1302,5627,3.237,0.47,0.139,0.033,36,2.6
34,G_temp_sup-Plan_polar,590,428,1806,3.673,0.612,0.10800000000000001,0.021,4,0.5
35,G_temp_sup-Plan_tempo,981,617,1813,2.549,0.377,0.121,0.024,16,0.9
36,G_temporal_inf,2570,1655,7171,3.091,0.755,0.141,0.037000000000000005,48,3.6
37,G_temporal_middle,2612,1764,8311,3.242,0.551,0.136,0.031,55,3.2
38,Lat_Fis-ant-Horizont,368,250,460,2.4219999999999997,0.38799999999999996,0.102,0.01,2,0.2
39,Lat_Fis-ant-Vertical,348,244,496,2.369,0.34600000000000003,0.1,0.016,1,0.2
40,Lat_Fis-post,1358,900,1852,2.495,0.344,0.115,0.021,12,1.2
41,Pole_occipital,3647,2385,6649,2.305,0.665,0.15,0.037000000000000005,61,5.7
42,Pole_temporal,1744,1220,5546,3.3139999999999996,0.672,0.147,0.046,35,3.0
43,S_calcarine,2420,1681,3280,2.299,0.525,0.131,0.03,27,2.8
44,S_central,2380,1609,2967,2.147,0.599,0.09699999999999999,0.018000000000000002,11,1.7
45,S_cingul-Marginalis,1093,743,1758,2.551,0.425,0.099,0.017,7,0.8
46,S_circular_insula_ant,512,348,873,3.138,0.46799999999999997,0.107,0.019,3,0.5
47,S_circular_insula_inf,1150,762,1760,2.9160000000000004,0.794,0.08,0.012,4,0.6
48,S_circular_insula_sup,1059,721,1732,2.7230000000000003,0.397,0.10800000000000001,0.021,6,0.9
49,S_collat_transv_ant,1008,686,1701,2.779,0.573,0.091,0.016,5,0.6
50,S_collat_transv_post,633,411,982,2.565,0.385,0.145,0.034,7,1.1
51,S_front_inf,2101,1397,3083,2.3080000000000003,0.354,0.099,0.018000000000000002,14,1.5
52,S_front_middle,2229,1554,3277,2.251,0.474,0.11800000000000001,0.023,20,2.1
53,S_front_sup,2138,1472,3266,2.4859999999999998,0.354,0.115,0.021,15,1.9
54,S_interm_prim-Jensen,511,345,719,2.577,0.358,0.113,0.022000000000000002,4,0.5
55,S_intrapariet&P_trans,2694,1821,3861,2.276,0.321,0.106,0.016,22,1.7
56,S_oc_middle&Lunatus,871,604,1393,2.432,0.48,0.129,0.026000000000000002,7,0.9
57,S_oc_sup&transversal,968,669,1209,2.1790000000000003,0.27399999999999997,0.099,0.012,6,0.5
58,S_occipital_ant,663,462,1073,2.498,0.295,0.094,0.013999999999999999,3,0.4
59,S_oc-temp_lat,968,630,1893,2.8139999999999996,0.469,0.115,0.025,9,0.9
60,S_oc-temp_med&Lingual,1959,1356,3347,2.7260000000000004,0.457,0.115,0.022000000000000002,16,1.6
61,S_orbital_lateral,372,255,472,2.081,0.376,0.1,0.015,2,0.2
62,S_orbital_med-olfact,649,445,821,2.072,0.51,0.11,0.016,4,0.5
63,S_orbital-H_Shaped,1497,1045,2473,2.469,0.528,0.128,0.024,21,1.3
64,S_parieto_occipital,2154,1436,3004,2.282,0.413,0.122,0.025,21,2.2
65,S_pericallosal,1178,722,1048,1.986,0.551,0.13,0.021,19,0.8
66,S_postcentral,2953,1935,4630,2.455,0.387,0.11699999999999999,0.023,27,2.9
67,S_precentral-inf-part,1504,1019,2349,2.6639999999999997,0.376,0.107,0.018000000000000002,10,1.1
68,S_precentral-sup-part,1142,767,1648,2.603,0.396,0.125,0.022000000000000002,10,1.1
69,S_suborbital,394,275,615,2.677,0.5429999999999999,0.134,0.022000000000000002,4,0.4
70,S_subparietal,1492,1025,2483,2.612,0.499,0.128,0.026000000000000002,15,1.5
71,S_temporal_inf,1448,1004,2421,2.7939999999999996,0.495,0.126,0.022000000000000002,10,1.6
72,S_temporal_sup,5476,3784,9388,2.72,0.4,0.09699999999999999,0.015,28,3.6
73,S_temporal_transverse,190,122,322,2.6010000000000004,0.264,0.06,0.006,0,0.0
