,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1207,792,2075,2.436,0.478,0.128,0.022000000000000002,16,1.1
1,G&S_occipital_inf,1637,1055,3752,2.681,0.722,0.11800000000000001,0.027000000000000003,18,1.7
2,G&S_paracentral,1499,950,3312,2.7969999999999997,0.525,0.11599999999999999,0.022000000000000002,16,1.3
3,G&S_subcentral,1239,837,3033,2.903,0.484,0.138,0.032,19,1.5
4,G&S_transv_frontopol,640,446,1462,2.5639999999999996,0.419,0.158,0.036000000000000004,14,0.9
5,G&S_cingul-Ant,2000,1387,4154,2.838,0.478,0.125,0.027000000000000003,27,2.3
6,G&S_cingul-Mid-Ant,970,658,2055,3.071,0.431,0.12300000000000001,0.02,10,0.8
7,G&S_cingul-Mid-Post,1225,879,2552,2.7739999999999996,0.445,0.12300000000000001,0.023,13,1.2
8,G_cingul-Post-dorsal,669,446,1805,3.1839999999999997,0.522,0.14,0.03,13,0.8
9,G_cingul-Post-ventral,350,219,875,2.932,0.8079999999999999,0.135,0.036000000000000004,6,0.4
10,G_cuneus,2083,1412,3348,2.094,0.48200000000000004,0.16399999999999998,0.039,42,3.3
11,G_front_inf-Opercular,1159,777,3269,2.99,0.33899999999999997,0.128,0.026000000000000002,18,1.2
12,G_front_inf-Orbital,430,265,1101,2.763,0.39899999999999997,0.128,0.023,7,0.4
13,G_front_inf-Triangul,1318,902,3579,2.9730000000000003,0.425,0.13,0.025,19,1.4
14,G_front_middle,4588,3118,11040,2.7489999999999997,0.43,0.141,0.031,90,5.6
15,G_front_sup,6184,4164,16126,3.13,0.491,0.133,0.031,83,7.5
16,G_Ins_lg&S_cent_ins,576,401,1393,3.451,0.647,0.125,0.039,6,0.9
17,G_insular_short,578,389,1876,3.6430000000000002,0.726,0.142,0.047,11,1.1
18,G_occipital_middle,2526,1578,6340,2.852,0.5539999999999999,0.134,0.028999999999999998,43,2.9
19,G_occipital_sup,1096,714,1932,2.458,0.37,0.14400000000000002,0.028999999999999998,17,1.3
20,G_oc-temp_lat-fusifor,1549,1063,3799,2.858,0.557,0.126,0.027999999999999997,24,1.8
21,G_oc-temp_med-Lingual,3141,2090,5790,2.329,0.643,0.155,0.037000000000000005,60,4.8
22,G_oc-temp_med-Parahip,1438,937,3945,3.1839999999999997,0.8340000000000001,0.122,0.038,20,2.1
23,G_orbital,2558,1686,6800,2.9539999999999997,0.573,0.138,0.036000000000000004,50,3.4
24,G_pariet_inf-Angular,2863,1892,7139,2.895,0.515,0.14400000000000002,0.033,57,4.0
25,G_pariet_inf-Supramar,2548,1724,6580,2.949,0.546,0.135,0.028999999999999998,41,2.9
26,G_parietal_sup,2973,1934,6218,2.5469999999999997,0.371,0.14300000000000002,0.028999999999999998,54,3.5
27,G_postcentral,1900,1177,3866,2.481,0.59,0.12300000000000001,0.024,25,1.9
28,G_precentral,2237,1422,5765,3.085,0.5429999999999999,0.121,0.027000000000000003,27,2.2
29,G_precuneus,2422,1594,6037,2.877,0.405,0.135,0.028999999999999998,41,3.0
30,G_rectus,904,633,2040,2.491,0.5820000000000001,0.139,0.045,22,1.7
31,G_subcallosal,290,203,724,3.4789999999999996,0.823,0.105,0.033,3,0.2
32,G_temp_sup-G_T_transv,403,235,942,2.943,0.28600000000000003,0.127,0.031,5,0.4
33,G_temp_sup-Lateral,1617,1067,5710,3.4210000000000003,0.662,0.138,0.027999999999999997,25,1.9
34,G_temp_sup-Plan_polar,605,451,1799,3.4219999999999997,0.527,0.081,0.013999999999999999,2,0.3
35,G_temp_sup-Plan_tempo,946,636,2016,2.877,0.445,0.09699999999999999,0.018000000000000002,7,0.6
36,G_temporal_inf,2766,1821,8293,3.138,0.6970000000000001,0.13,0.033,55,3.6
37,G_temporal_middle,2434,1597,8310,3.3739999999999997,0.731,0.13699999999999998,0.031,41,3.2
38,Lat_Fis-ant-Horizont,343,228,448,2.302,0.353,0.094,0.018000000000000002,2,0.2
39,Lat_Fis-ant-Vertical,311,216,440,2.535,0.35100000000000003,0.09300000000000001,0.015,1,0.2
40,Lat_Fis-post,1153,775,1616,2.673,0.319,0.10800000000000001,0.022000000000000002,7,1.0
41,Pole_occipital,2104,1395,3866,2.3280000000000003,0.637,0.15,0.033,34,2.8
42,Pole_temporal,1473,1002,5048,3.516,0.758,0.134,0.034,22,2.1
43,S_calcarine,2614,1871,3590,2.116,0.495,0.11900000000000001,0.02,22,2.2
44,S_central,2489,1687,3504,2.37,0.614,0.098,0.018000000000000002,12,1.8
45,S_cingul-Marginalis,988,662,1460,2.415,0.379,0.09300000000000001,0.016,5,0.6
46,S_circular_insula_ant,448,318,845,3.123,0.386,0.09699999999999999,0.016,2,0.3
47,S_circular_insula_inf,1144,806,2125,3.139,0.8340000000000001,0.094,0.015,4,0.9
48,S_circular_insula_sup,1496,996,2184,2.738,0.375,0.109,0.021,8,1.4
49,S_collat_transv_ant,1393,953,2132,2.6260000000000003,0.397,0.086,0.009000000000000001,5,0.6
50,S_collat_transv_post,438,288,659,2.411,0.47600000000000003,0.142,0.039,5,0.7
51,S_front_inf,2230,1538,3529,2.552,0.32,0.124,0.022000000000000002,19,2.0
