,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1461,1028,2996,2.551,0.604,0.146,0.035,22,2.1
1,G&S_occipital_inf,1379,935,3258,2.733,0.585,0.14400000000000002,0.031,22,1.7
2,G&S_paracentral,1816,1057,2950,2.325,0.5770000000000001,0.111,0.027999999999999997,26,2.0
3,G&S_subcentral,1769,1183,4059,3.0860000000000003,0.652,0.14400000000000002,0.036000000000000004,27,2.6
4,G&S_transv_frontopol,911,645,2359,2.7539999999999996,0.52,0.171,0.05,26,1.9
5,G&S_cingul-Ant,2052,1439,4787,3.108,0.6829999999999999,0.126,0.033,27,2.9
6,G&S_cingul-Mid-Ant,1281,884,2549,2.923,0.544,0.128,0.025,17,1.3
7,G&S_cingul-Mid-Post,1494,1045,3057,2.778,0.51,0.126,0.03,17,1.7
8,G_cingul-Post-dorsal,742,467,1685,2.965,0.69,0.151,0.040999999999999995,15,1.2
9,G_cingul-Post-ventral,388,259,990,3.11,0.746,0.151,0.046,9,0.5
10,G_cuneus,2515,1574,4154,2.144,0.594,0.147,0.04,41,4.1
11,G_front_inf-Opercular,1345,898,3527,2.928,0.486,0.14400000000000002,0.033,28,1.5
12,G_front_inf-Orbital,462,286,1163,2.7710000000000004,0.544,0.134,0.027999999999999997,9,0.6
13,G_front_inf-Triangul,1165,775,2851,2.7439999999999998,0.484,0.133,0.027000000000000003,20,1.2
14,G_front_middle,5111,3331,13140,2.888,0.594,0.14,0.03,97,6.2
15,G_front_sup,8625,5683,22066,3.049,0.5539999999999999,0.135,0.034,138,10.7
16,G_Ins_lg&S_cent_ins,770,538,1864,3.321,0.6459999999999999,0.13699999999999998,0.05,12,1.3
17,G_insular_short,748,477,2444,3.429,0.762,0.14300000000000002,0.044000000000000004,14,1.1
18,G_occipital_middle,1735,1138,4015,2.616,0.5670000000000001,0.14800000000000002,0.033,35,2.1
19,G_occipital_sup,1681,1043,3474,2.6069999999999998,0.57,0.131,0.026000000000000002,25,1.7
20,G_oc-temp_lat-fusifor,1905,1301,4596,2.716,0.5539999999999999,0.138,0.038,36,2.8
21,G_oc-temp_med-Lingual,3075,2025,5587,2.189,0.6779999999999999,0.16,0.042,62,5.2
22,G_oc-temp_med-Parahip,1273,841,3599,3.2239999999999998,0.8370000000000001,0.11599999999999999,0.035,15,1.6
23,G_orbital,2495,1723,6957,3.075,0.73,0.151,0.043,55,4.2
24,G_pariet_inf-Angular,2164,1444,5585,2.824,0.534,0.14800000000000002,0.035,44,2.9
25,G_pariet_inf-Supramar,3756,2578,9044,2.7960000000000003,0.623,0.14400000000000002,0.031,69,4.8
26,G_parietal_sup,2902,1910,5514,2.318,0.45899999999999996,0.133,0.027000000000000003,55,3.0
27,G_postcentral,2710,1484,4826,2.379,0.675,0.113,0.025,39,2.6
28,G_precentral,3337,1808,7279,3.03,0.46799999999999997,0.102,0.023,42,2.8
29,G_precuneus,2561,1656,6828,2.8569999999999998,0.5720000000000001,0.14300000000000002,0.036000000000000004,45,3.5
30,G_rectus,840,611,2475,2.855,0.6579999999999999,0.152,0.043,24,1.6
31,G_subcallosal,655,413,1262,2.6310000000000002,1.068,0.076,0.053,9,1.3
32,G_temp_sup-G_T_transv,906,558,1690,2.536,0.369,0.11599999999999999,0.025,14,0.8
33,G_temp_sup-Lateral,2162,1423,7164,3.342,0.649,0.142,0.032,45,2.6
34,G_temp_sup-Plan_polar,690,461,2009,3.5639999999999996,0.525,0.08199999999999999,0.015,3,0.4
