,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,825,597,1605,2.529,0.521,0.155,0.036000000000000004,14,1.2
1,G&S_occipital_inf,1273,817,2646,2.832,0.657,0.135,0.023,18,1.1
2,G&S_paracentral,1610,887,2932,2.614,0.535,0.1,0.025,15,1.5
3,G&S_subcentral,1151,770,2484,2.807,0.5710000000000001,0.124,0.023,12,1.1
4,G&S_transv_frontopol,558,373,1267,2.481,0.488,0.16899999999999998,0.045,13,1.0
5,G&S_cingul-Ant,1625,1096,3067,2.784,0.561,0.125,0.026000000000000002,21,1.6
6,G&S_cingul-Mid-Ant,959,632,1714,2.65,0.43,0.113,0.017,8,0.7
7,G&S_cingul-Mid-Post,1145,777,2141,2.6289999999999996,0.42200000000000004,0.128,0.028999999999999998,12,1.2
8,G_cingul-Post-dorsal,340,236,1014,3.1510000000000002,0.45799999999999996,0.142,0.034,6,0.3
9,G_cingul-Post-ventral,328,194,532,2.51,0.755,0.114,0.026000000000000002,5,0.3
10,G_cuneus,1608,1051,2489,1.964,0.65,0.161,0.04,30,2.7
11,G_front_inf-Opercular,1042,660,2559,2.803,0.348,0.13,0.03,19,1.2
12,G_front_inf-Orbital,331,207,837,2.715,0.456,0.14300000000000002,0.03,5,0.5
13,G_front_inf-Triangul,838,552,2198,2.8710000000000004,0.508,0.145,0.025,17,0.8
14,G_front_middle,3058,2026,7040,2.6719999999999997,0.446,0.146,0.035,58,4.5
15,G_front_sup,6198,3941,15438,3.095,0.506,0.136,0.033,92,8.5
16,G_Ins_lg&S_cent_ins,570,379,1296,3.158,0.5489999999999999,0.131,0.032,10,0.7
17,G_insular_short,560,368,1785,3.745,0.669,0.129,0.047,6,1.0
18,G_occipital_middle,1510,952,3559,2.964,0.48700000000000004,0.147,0.027999999999999997,28,1.6
19,G_occipital_sup,1139,736,2147,2.637,0.562,0.154,0.044000000000000004,25,2.2
20,G_oc-temp_lat-fusifor,1228,810,3429,3.173,0.469,0.133,0.031,17,1.5
21,G_oc-temp_med-Lingual,2576,1693,3816,1.933,0.7390000000000001,0.145,0.037000000000000005,38,3.8
22,G_oc-temp_med-Parahip,1267,797,3147,2.95,0.915,0.11599999999999999,0.040999999999999995,18,2.4
23,G_orbital,1592,1081,4114,2.787,0.643,0.14400000000000002,0.039,32,2.3
24,G_pariet_inf-Angular,1730,1104,4134,2.88,0.517,0.139,0.03,34,1.9
25,G_pariet_inf-Supramar,2105,1380,4906,2.8989999999999996,0.461,0.131,0.027000000000000003,33,2.4
26,G_parietal_sup,1839,1191,4049,2.6289999999999996,0.45899999999999996,0.129,0.023,25,1.7
27,G_postcentral,1838,1061,3567,2.524,0.5720000000000001,0.111,0.023,24,1.6
28,G_precentral,2365,1298,5430,2.99,0.58,0.10300000000000001,0.027000000000000003,25,3.0
29,G_precuneus,2089,1331,4785,2.694,0.521,0.135,0.034,39,3.0
30,G_rectus,751,491,1635,2.37,0.602,0.139,0.04,15,1.4
31,G_subcallosal,674,436,1114,2.6910000000000003,0.789,0.11800000000000001,0.061,11,0.9
32,G_temp_sup-G_T_transv,498,265,854,2.6,0.483,0.102,0.024,6,0.4
33,G_temp_sup-Lateral,1628,1061,5162,3.2560000000000002,0.57,0.132,0.03,26,2.0
34,G_temp_sup-Plan_polar,541,396,1579,3.388,0.632,0.085,0.018000000000000002,2,0.3
35,G_temp_sup-Plan_tempo,785,519,1847,2.997,0.366,0.11,0.019,10,0.7
36,G_temporal_inf,2019,1323,5227,2.99,0.736,0.15,0.042,41,3.4
37,G_temporal_middle,2106,1373,6820,3.464,0.5670000000000001,0.14400000000000002,0.032,41,2.6
38,Lat_Fis-ant-Horizont,200,148,276,2.041,0.295,0.113,0.02,1,0.1
39,Lat_Fis-ant-Vertical,381,271,581,2.267,0.466,0.106,0.017,2,0.3
40,Lat_Fis-post,948,628,1226,2.525,0.366,0.111,0.022000000000000002,7,0.7
41,Pole_occipital,1693,1073,2751,2.256,0.735,0.153,0.037000000000000005,28,2.5
42,Pole_temporal,1341,918,4781,3.553,0.708,0.139,0.035,20,1.9
43,S_calcarine,2378,1589,2263,1.6740000000000002,0.446,0.12300000000000001,0.026000000000000002,24,2.3
44,S_central,3002,1958,3761,2.217,0.649,0.09300000000000001,0.019,20,2.5
45,S_cingul-Marginalis,998,679,1398,2.295,0.391,0.094,0.013999999999999999,5,0.6
46,S_circular_insula_ant,451,308,638,2.476,0.47700000000000004,0.091,0.015,2,0.3
47,S_circular_insula_inf,1181,813,1639,2.565,0.455,0.096,0.019,6,1.0
48,S_circular_insula_sup,1451,970,2118,2.6519999999999997,0.506,0.107,0.024,14,1.7
49,S_collat_transv_ant,699,496,1355,2.737,0.547,0.122,0.032,11,1.0
50,S_collat_transv_post,488,318,525,1.966,0.45399999999999996,0.124,0.028999999999999998,4,0.6
51,S_front_inf,1593,1105,2318,2.3209999999999997,0.354,0.12,0.024,16,1.4
52,S_front_middle,899,612,1312,2.292,0.37,0.105,0.015,6,0.6
53,S_front_sup,1946,1389,3315,2.5469999999999997,0.358,0.106,0.02,13,1.6
54,S_interm_prim-Jensen,281,203,397,2.231,0.267,0.113,0.012,2,0.2
55,S_intrapariet&P_trans,2560,1714,3630,2.412,0.37,0.105,0.017,17,1.7
56,S_oc_middle&Lunatus,567,390,788,2.403,0.301,0.12,0.015,4,0.4
57,S_oc_sup&transversal,826,553,1248,2.5269999999999997,0.342,0.115,0.019,8,0.6
58,S_occipital_ant,476,349,910,2.528,0.348,0.11599999999999999,0.015,4,0.3
59,S_oc-temp_lat,628,438,1129,2.6069999999999998,0.384,0.111,0.021,5,0.5
60,S_oc-temp_med&Lingual,1821,1211,2665,2.376,0.507,0.098,0.015,10,1.2
61,S_orbital_lateral,192,141,313,2.556,0.461,0.11699999999999999,0.021,1,0.2
62,S_orbital_med-olfact,496,347,656,2.217,0.556,0.125,0.017,5,0.4
63,S_orbital-H_Shaped,975,653,1826,2.804,0.5660000000000001,0.11900000000000001,0.025,9,1.0
64,S_parieto_occipital,1506,1021,2012,2.117,0.509,0.125,0.025,16,1.5
65,S_pericallosal,764,421,712,2.41,0.691,0.15,0.031,20,0.7
