,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,632,468,1326,2.718,0.594,0.18100000000000002,0.042,13,1.2
1,G&S_occipital_inf,897,617,2257,2.786,0.635,0.131,0.026000000000000002,13,0.9
2,G&S_paracentral,1406,814,2399,2.501,0.625,0.10800000000000001,0.025,11,1.5
3,G&S_subcentral,906,590,1970,2.755,0.504,0.121,0.024,10,0.9
4,G&S_transv_frontopol,985,680,2182,2.615,0.5379999999999999,0.158,0.040999999999999995,19,1.6
5,G&S_cingul-Ant,2202,1484,4114,2.674,0.42200000000000004,0.121,0.027000000000000003,29,2.3
6,G&S_cingul-Mid-Ant,1010,662,1898,2.687,0.49,0.125,0.023,11,0.9
7,G&S_cingul-Mid-Post,1089,755,2095,2.615,0.498,0.113,0.025,8,1.0
8,G_cingul-Post-dorsal,353,231,984,3.05,0.34299999999999997,0.162,0.038,7,0.5
9,G_cingul-Post-ventral,285,171,649,2.7310000000000003,0.807,0.1,0.027999999999999997,6,0.2
10,G_cuneus,1967,1227,2848,1.984,0.63,0.13699999999999998,0.033,28,2.7
11,G_front_inf-Opercular,1070,676,2654,2.858,0.353,0.11599999999999999,0.023,17,1.0
12,G_front_inf-Orbital,399,259,1095,2.969,0.38,0.153,0.045,7,0.8
13,G_front_inf-Triangul,1131,752,2921,2.91,0.621,0.139,0.032,17,1.4
14,G_front_middle,2720,1749,6172,2.674,0.478,0.139,0.037000000000000005,49,4.2
15,G_front_sup,5311,3398,12911,2.9539999999999997,0.495,0.127,0.028999999999999998,81,5.9
16,G_Ins_lg&S_cent_ins,440,304,1174,3.505,0.772,0.126,0.037000000000000005,6,0.5
17,G_insular_short,630,393,1755,3.332,0.887,0.11,0.034,7,0.8
18,G_occipital_middle,1715,1177,4146,2.7430000000000003,0.466,0.138,0.025,29,1.8
19,G_occipital_sup,1530,937,2588,2.285,0.495,0.131,0.027000000000000003,21,1.7
20,G_oc-temp_lat-fusifor,1555,983,3853,2.852,0.54,0.141,0.035,28,2.3
21,G_oc-temp_med-Lingual,2434,1587,4140,2.112,0.64,0.151,0.042,44,4.2
22,G_oc-temp_med-Parahip,1312,788,3195,2.9010000000000002,1.078,0.107,0.038,16,2.1
23,G_orbital,2190,1496,5860,2.984,0.643,0.151,0.04,52,3.7
24,G_pariet_inf-Angular,2353,1471,5750,2.86,0.491,0.142,0.036000000000000004,51,3.1
25,G_pariet_inf-Supramar,1935,1279,4259,2.7889999999999997,0.444,0.127,0.026000000000000002,26,2.0
26,G_parietal_sup,1800,1228,4127,2.655,0.414,0.125,0.024,24,1.7
27,G_postcentral,1757,1001,3353,2.444,0.503,0.10800000000000001,0.02,24,1.5
28,G_precentral,2346,1248,4787,2.822,0.49200000000000005,0.096,0.026000000000000002,24,2.3
29,G_precuneus,1842,1163,4285,2.742,0.561,0.134,0.028999999999999998,33,2.2
30,G_rectus,725,478,1550,2.215,0.7759999999999999,0.149,0.043,18,1.4
31,G_subcallosal,195,136,359,2.7939999999999996,0.479,0.08,0.019,1,0.1
32,G_temp_sup-G_T_transv,338,192,557,2.483,0.446,0.102,0.031,3,0.5
33,G_temp_sup-Lateral,1529,944,3885,3.0010000000000003,0.524,0.10800000000000001,0.022000000000000002,18,1.5
34,G_temp_sup-Plan_polar,661,446,1602,3.2939999999999996,0.6609999999999999,0.067,0.015,2,0.4
35,G_temp_sup-Plan_tempo,734,514,1508,2.628,0.614,0.11699999999999999,0.022000000000000002,7,0.7
36,G_temporal_inf,1736,1190,5424,3.2110000000000003,0.6970000000000001,0.15,0.038,34,3.0
37,G_temporal_middle,2308,1515,6968,3.2939999999999996,0.63,0.133,0.034,42,3.0
38,Lat_Fis-ant-Horizont,279,200,413,2.497,0.439,0.11199999999999999,0.019,1,0.2
39,Lat_Fis-ant-Vertical,224,158,399,2.696,0.379,0.1,0.025,1,0.2
40,Lat_Fis-post,1222,798,1796,2.687,0.402,0.10099999999999999,0.018000000000000002,7,1.0
41,Pole_occipital,2984,1891,4479,2.099,0.718,0.142,0.032,45,3.6
42,Pole_temporal,1364,923,5117,3.6,0.6729999999999999,0.132,0.03,18,1.9
43,S_calcarine,2024,1347,2182,1.864,0.527,0.139,0.034,23,2.9
44,S_central,2844,1907,3657,2.197,0.597,0.09300000000000001,0.021,13,2.7
45,S_cingul-Marginalis,1065,733,1556,2.344,0.45799999999999996,0.095,0.013999999999999999,6,0.6
46,S_circular_insula_ant,533,356,840,2.8960000000000004,0.429,0.10400000000000001,0.02,2,0.5
47,S_circular_insula_inf,969,640,1288,2.282,0.516,0.08,0.009000000000000001,3,0.4
48,S_circular_insula_sup,945,644,1360,2.509,0.436,0.098,0.017,4,0.7
49,S_collat_transv_ant,763,487,1061,2.469,0.6809999999999999,0.113,0.026000000000000002,8,0.8
50,S_collat_transv_post,422,288,537,2.351,0.337,0.14400000000000002,0.034,4,0.6
51,S_front_inf,1575,1059,2398,2.372,0.37200000000000005,0.111,0.022000000000000002,13,1.4
52,S_front_middle,1014,717,1602,2.3169999999999997,0.413,0.105,0.02,6,0.8
53,S_front_sup,1879,1321,3224,2.565,0.469,0.10800000000000001,0.019,18,1.4
54,S_interm_prim-Jensen,365,252,501,2.399,0.293,0.10300000000000001,0.021,2,0.3
55,S_intrapariet&P_trans,2661,1799,3810,2.3480000000000003,0.377,0.099,0.013999999999999999,17,1.6
56,S_oc_middle&Lunatus,476,319,709,2.29,0.539,0.132,0.022000000000000002,5,0.5
57,S_oc_sup&transversal,1144,751,1491,2.4819999999999998,0.34600000000000003,0.11900000000000001,0.023,10,0.9
58,S_occipital_ant,484,339,725,2.512,0.37200000000000005,0.126,0.026000000000000002,4,0.5
59,S_oc-temp_lat,655,460,1030,2.762,0.37200000000000005,0.11900000000000001,0.037000000000000005,5,1.0
60,S_oc-temp_med&Lingual,1854,1268,2800,2.476,0.456,0.10099999999999999,0.016,12,1.2
61,S_orbital_lateral,315,248,469,2.2769999999999997,0.37,0.154,0.028999999999999998,2,0.5
62,S_orbital_med-olfact,544,385,821,2.313,0.545,0.11699999999999999,0.023,6,0.3
63,S_orbital-H_Shaped,1036,692,1959,2.892,0.638,0.11699999999999999,0.026000000000000002,8,1.2
64,S_parieto_occipital,1624,1095,2362,2.335,0.505,0.113,0.02,13,1.3
65,S_pericallosal,989,552,891,2.425,0.836,0.132,0.022000000000000002,22,0.6
66,S_postcentral,1675,1136,2397,2.376,0.33,0.087,0.012,9,0.8
67,S_precentral-inf-part,1195,805,1796,2.565,0.337,0.08199999999999999,0.012,4,0.6
68,S_precentral-sup-part,1266,829,1775,2.636,0.368,0.096,0.015,10,0.8
69,S_suborbital,328,232,434,2.313,0.568,0.145,0.02,5,0.3
70,S_subparietal,760,532,1375,2.551,0.409,0.125,0.026000000000000002,6,0.8
71,S_temporal_inf,1036,728,1612,2.72,0.445,0.11800000000000001,0.017,7,0.9
72,S_temporal_sup,4344,3006,7065,2.571,0.397,0.094,0.015,21,2.7
73,S_temporal_transverse,229,157,440,2.734,0.366,0.11599999999999999,0.017,2,0.2
