,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1385,950,2741,2.61,0.53,0.14,0.039,23,2.5
1,G&S_occipital_inf,1909,1262,3862,2.6210000000000004,0.521,0.136,0.026000000000000002,29,2.1
2,G&S_paracentral,2017,1077,3650,2.716,0.523,0.102,0.028999999999999998,20,2.3
3,G&S_subcentral,1570,1042,3573,3.013,0.5710000000000001,0.13699999999999998,0.032,22,2.1
4,G&S_transv_frontopol,800,575,2334,2.9560000000000004,0.555,0.154,0.033,16,1.1
5,G&S_cingul-Ant,2199,1493,4826,3.113,0.504,0.111,0.019,19,1.8
6,G&S_cingul-Mid-Ant,1308,870,2592,3.0260000000000002,0.622,0.11,0.019,11,0.9
7,G&S_cingul-Mid-Post,1490,1004,3070,3.0469999999999997,0.519,0.115,0.027000000000000003,13,1.5
8,G_cingul-Post-dorsal,1089,708,2861,3.165,0.518,0.161,0.04,25,1.8
9,G_cingul-Post-ventral,554,320,1246,2.77,0.925,0.129,0.043,12,0.9
10,G_cuneus,2963,1867,4510,2.066,0.608,0.147,0.038,48,4.5
11,G_front_inf-Opercular,1816,1167,4878,3.088,0.513,0.13,0.026000000000000002,29,1.8
12,G_front_inf-Orbital,491,313,1263,2.7760000000000002,0.5589999999999999,0.11800000000000001,0.02,7,0.4
13,G_front_inf-Triangul,1155,743,3153,3.245,0.45399999999999996,0.141,0.027999999999999997,21,1.3
14,G_front_middle,4797,3034,13242,3.21,0.496,0.138,0.032,86,5.9
15,G_front_sup,8333,5434,23222,3.365,0.532,0.133,0.032,118,10.4
16,G_Ins_lg&S_cent_ins,696,462,1723,3.605,0.73,0.11900000000000001,0.032,9,0.7
17,G_insular_short,793,510,2766,3.8789999999999996,0.6990000000000001,0.131,0.04,13,1.3
18,G_occipital_middle,2290,1391,5639,3.011,0.589,0.141,0.039,43,3.3
19,G_occipital_sup,1939,1176,3440,2.444,0.648,0.131,0.027999999999999997,28,2.1
20,G_oc-temp_lat-fusifor,2224,1422,5895,3.065,0.61,0.14,0.031,40,2.8
21,G_oc-temp_med-Lingual,4300,2760,7607,2.291,0.767,0.157,0.039,77,7.0
22,G_oc-temp_med-Parahip,1560,1050,5068,3.537,0.757,0.141,0.046,25,3.3
23,G_orbital,2695,1775,7059,2.975,0.737,0.152,0.045,61,4.8
24,G_pariet_inf-Angular,2818,1838,7436,3.03,0.531,0.149,0.031,61,3.4
25,G_pariet_inf-Supramar,4111,2678,10326,3.07,0.539,0.147,0.036000000000000004,76,5.9
26,G_parietal_sup,3319,2144,7289,2.639,0.5579999999999999,0.13,0.028999999999999998,51,3.6
27,G_postcentral,2744,1502,5056,2.571,0.675,0.11699999999999999,0.034,34,3.5
28,G_precentral,3428,1804,8393,3.451,0.5870000000000001,0.10400000000000001,0.032,40,4.2
29,G_precuneus,3045,1960,7000,2.747,0.439,0.132,0.027999999999999997,56,3.3
30,G_rectus,823,570,2289,2.7960000000000003,0.736,0.151,0.044000000000000004,22,1.4
31,G_subcallosal,623,429,1200,2.8339999999999996,0.8290000000000001,0.11,0.073,21,0.9
32,G_temp_sup-G_T_transv,691,437,1523,2.8139999999999996,0.518,0.125,0.042,11,1.0
33,G_temp_sup-Lateral,2336,1478,7823,3.59,0.7929999999999999,0.141,0.031,42,3.0
34,G_temp_sup-Plan_polar,657,458,2121,3.6430000000000002,0.752,0.107,0.023,6,0.6
35,G_temp_sup-Plan_tempo,1020,710,2388,2.883,0.59,0.1,0.017,8,0.7
36,G_temporal_inf,2855,1821,8175,3.136,0.863,0.147,0.048,70,5.9
37,G_temporal_middle,2840,1886,9776,3.4330000000000003,0.674,0.149,0.038,60,4.1
38,Lat_Fis-ant-Horizont,357,229,594,2.708,0.44,0.109,0.017,3,0.2
39,Lat_Fis-ant-Vertical,374,275,630,2.7060000000000004,0.34700000000000003,0.091,0.011000000000000001,1,0.2
40,Lat_Fis-post,1180,797,1768,2.8,0.48700000000000004,0.10800000000000001,0.02,7,1.0
41,Pole_occipital,2576,1443,3322,2.173,0.607,0.134,0.034,38,3.4
42,Pole_temporal,1426,1013,5305,3.426,0.861,0.146,0.046,29,2.9
43,S_calcarine,3993,2610,4727,2.1069999999999998,0.634,0.127,0.03,43,4.9
44,S_central,3643,2389,4330,2.127,0.71,0.11699999999999999,0.028999999999999998,29,4.8
45,S_cingul-Marginalis,1123,748,1774,2.613,0.41700000000000004,0.115,0.026000000000000002,10,1.1
46,S_circular_insula_ant,607,404,957,2.997,0.485,0.09699999999999999,0.016,3,0.4
47,S_circular_insula_inf,1734,1151,3237,3.29,0.682,0.092,0.018000000000000002,8,1.3
48,S_circular_insula_sup,1955,1329,3093,2.957,0.469,0.102,0.019,10,1.6
49,S_collat_transv_ant,915,621,1579,2.66,0.5720000000000001,0.10800000000000001,0.022000000000000002,8,0.6
50,S_collat_transv_post,596,403,887,2.354,0.442,0.132,0.027000000000000003,6,0.6
51,S_front_inf,2453,1688,4507,2.845,0.475,0.10800000000000001,0.019,16,1.9
