,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,966,646,1826,2.388,0.568,0.14800000000000002,0.046,18,2.3
1,G&S_occipital_inf,1531,984,3017,2.8169999999999997,0.535,0.132,0.027999999999999997,21,1.6
2,G&S_paracentral,1640,893,2857,2.562,0.5820000000000001,0.11599999999999999,0.031,18,2.2
3,G&S_subcentral,1590,1042,3825,3.138,0.43700000000000006,0.126,0.027000000000000003,21,1.6
4,G&S_transv_frontopol,1365,939,3533,2.8710000000000004,0.5660000000000001,0.147,0.037000000000000005,31,2.1
5,G&S_cingul-Ant,3471,2318,7454,3.017,0.526,0.114,0.024,42,3.3
6,G&S_cingul-Mid-Ant,1704,1159,3714,3.12,0.635,0.124,0.026000000000000002,21,1.9
7,G&S_cingul-Mid-Post,1610,1132,3478,2.927,0.5760000000000001,0.113,0.021,13,1.5
8,G_cingul-Post-dorsal,776,492,2062,3.446,0.609,0.166,0.053,15,1.6
9,G_cingul-Post-ventral,534,321,1495,3.3110000000000004,0.6920000000000001,0.134,0.034,8,0.8
10,G_cuneus,3455,2163,5895,2.256,0.657,0.14400000000000002,0.036000000000000004,54,5.1
11,G_front_inf-Opercular,1664,1063,4373,3.157,0.43,0.128,0.027999999999999997,30,1.8
12,G_front_inf-Orbital,324,217,879,3.319,0.639,0.14400000000000002,0.042,6,0.4
13,G_front_inf-Triangul,1071,693,3058,3.195,0.526,0.147,0.034,22,1.6
14,G_front_middle,4954,3185,13259,3.023,0.523,0.145,0.034,105,6.9
15,G_front_sup,7645,4981,20969,3.2880000000000003,0.607,0.13,0.032,102,9.4
16,G_Ins_lg&S_cent_ins,640,427,1981,3.987,0.732,0.114,0.03,7,0.7
17,G_insular_short,704,436,2396,3.786,0.698,0.124,0.034,12,1.0
18,G_occipital_middle,2426,1482,6149,3.0439999999999996,0.46,0.13699999999999998,0.027999999999999997,40,2.8
19,G_occipital_sup,2144,1344,3890,2.476,0.506,0.135,0.028999999999999998,31,2.4
20,G_oc-temp_lat-fusifor,2687,1670,7609,3.2969999999999997,0.615,0.135,0.03,50,3.2
21,G_oc-temp_med-Lingual,3949,2523,7132,2.292,0.741,0.146,0.040999999999999995,66,6.5
22,G_oc-temp_med-Parahip,1450,926,4237,3.361,0.866,0.11800000000000001,0.036000000000000004,15,1.8
23,G_orbital,2932,1968,7930,2.912,0.6729999999999999,0.151,0.045,77,5.4
24,G_pariet_inf-Angular,3579,2177,9202,3.076,0.609,0.139,0.035,78,4.5
