,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1153,770,2122,2.401,0.612,0.152,0.04,25,2.1
1,G&S_occipital_inf,1218,803,2405,2.6289999999999996,0.516,0.151,0.033,20,1.6
2,G&S_paracentral,1670,840,2357,2.342,0.5920000000000001,0.096,0.027999999999999997,15,1.9
3,G&S_subcentral,1360,864,2930,2.847,0.5479999999999999,0.124,0.035,19,1.7
4,G&S_transv_frontopol,571,377,1532,2.741,0.6709999999999999,0.15,0.04,11,0.9
5,G&S_cingul-Ant,1800,1261,3831,2.878,0.628,0.138,0.032,26,2.2
6,G&S_cingul-Mid-Ant,1294,833,2169,2.524,0.561,0.126,0.025,19,1.2
7,G&S_cingul-Mid-Post,1120,771,2104,2.609,0.603,0.124,0.038,15,1.2
8,G_cingul-Post-dorsal,582,392,1748,3.092,0.589,0.15,0.042,12,1.0
9,G_cingul-Post-ventral,261,160,588,2.6630000000000003,0.7140000000000001,0.161,0.046,6,0.5
10,G_cuneus,1936,1135,2149,1.7069999999999999,0.479,0.15,0.04,37,3.3
11,G_front_inf-Opercular,1033,685,2578,2.798,0.47,0.133,0.031,16,1.3
12,G_front_inf-Orbital,433,254,1206,3.16,0.466,0.138,0.038,8,0.7
13,G_front_inf-Triangul,759,503,1903,2.753,0.516,0.146,0.037000000000000005,13,1.0
14,G_front_middle,3536,2289,7286,2.582,0.517,0.151,0.039,62,5.8
15,G_front_sup,5670,3486,12407,2.784,0.608,0.133,0.037000000000000005,91,8.4
16,G_Ins_lg&S_cent_ins,583,365,1153,3.048,0.9279999999999999,0.132,0.06,9,1.3
17,G_insular_short,676,412,2200,3.938,0.779,0.11800000000000001,0.032,10,0.7
18,G_occipital_middle,1738,1039,3932,2.775,0.618,0.142,0.038,35,2.6
19,G_occipital_sup,1182,668,2223,2.539,0.523,0.122,0.031,14,1.4
20,G_oc-temp_lat-fusifor,1732,1085,4196,3.0010000000000003,0.46399999999999997,0.139,0.033,37,2.1
21,G_oc-temp_med-Lingual,2592,1479,3316,1.946,0.6809999999999999,0.139,0.040999999999999995,41,4.4
22,G_oc-temp_med-Parahip,1083,694,3141,3.395,0.679,0.114,0.024,12,0.9
23,G_orbital,2283,1424,5632,2.928,0.708,0.153,0.048,53,3.9
24,G_pariet_inf-Angular,2438,1536,5606,2.708,0.605,0.132,0.032,39,3.0
25,G_pariet_inf-Supramar,2582,1567,5915,2.924,0.586,0.14300000000000002,0.052000000000000005,52,5.9
26,G_parietal_sup,3430,2064,6011,2.329,0.581,0.125,0.035,51,5.0
27,G_postcentral,2317,1203,3185,2.151,0.5579999999999999,0.096,0.027000000000000003,25,2.6
28,G_precentral,2474,1376,4798,2.7089999999999996,0.66,0.107,0.025,30,2.4
29,G_precuneus,2596,1553,5108,2.519,0.525,0.135,0.035,48,3.2
30,G_rectus,849,541,2038,2.682,0.754,0.139,0.044000000000000004,17,1.7
31,G_subcallosal,585,351,606,1.9269999999999998,1.1079999999999999,0.136,0.07200000000000001,18,1.4
32,G_temp_sup-G_T_transv,556,306,998,2.693,0.565,0.142,0.039,11,0.7
33,G_temp_sup-Lateral,1686,1074,4885,3.248,0.5489999999999999,0.13699999999999998,0.028999999999999998,29,1.9
34,G_temp_sup-Plan_polar,518,354,1615,3.917,0.6890000000000001,0.086,0.017,2,0.3
35,G_temp_sup-Plan_tempo,665,453,1365,2.85,0.379,0.09699999999999999,0.018000000000000002,4,0.5
36,G_temporal_inf,2222,1442,5684,2.839,0.83,0.156,0.054000000000000006,60,5.4
37,G_temporal_middle,2276,1469,6925,3.3139999999999996,0.564,0.14800000000000002,0.036000000000000004,45,3.2
38,Lat_Fis-ant-Horizont,282,179,476,2.8160000000000003,0.27399999999999997,0.128,0.019,3,0.2
39,Lat_Fis-ant-Vertical,385,265,588,2.509,0.49,0.113,0.015,3,0.3
40,Lat_Fis-post,1006,675,1381,2.614,0.444,0.11,0.021,6,0.9
41,Pole_occipital,1898,1131,2408,1.923,0.529,0.147,0.037000000000000005,32,2.8
42,Pole_temporal,1364,912,5098,3.798,0.6609999999999999,0.157,0.043,32,2.5
43,S_calcarine,2349,1609,2277,1.652,0.565,0.122,0.027999999999999997,25,2.5
44,S_central,2932,1963,3723,2.12,0.7709999999999999,0.094,0.018000000000000002,14,2.1
45,S_cingul-Marginalis,858,600,1174,2.095,0.5720000000000001,0.105,0.016,8,0.6
46,S_circular_insula_ant,388,263,640,3.073,0.39,0.105,0.021,2,0.4
47,S_circular_insula_inf,1186,804,1920,2.8310000000000004,0.722,0.087,0.013000000000000001,5,0.6
48,S_circular_insula_sup,1497,1014,2371,2.8930000000000002,0.369,0.107,0.019,8,1.3
49,S_collat_transv_ant,700,489,1183,2.8080000000000003,0.5529999999999999,0.121,0.019,5,0.6
50,S_collat_transv_post,322,228,488,2.255,0.682,0.126,0.021,2,0.4
51,S_front_inf,1646,1139,2577,2.32,0.413,0.11800000000000001,0.021,14,1.4
52,S_front_middle,882,607,1354,2.254,0.469,0.132,0.032,11,1.1
53,S_front_sup,2161,1470,3483,2.335,0.5329999999999999,0.11699999999999999,0.027999999999999997,21,2.5
54,S_interm_prim-Jensen,168,113,268,2.359,0.535,0.111,0.015,1,0.1
55,S_intrapariet&P_trans,2849,1927,3727,2.099,0.41,0.09699999999999999,0.013999999999999999,15,1.8
56,S_oc_middle&Lunatus,911,632,1182,2.23,0.455,0.124,0.023,7,0.9
57,S_oc_sup&transversal,1061,720,1372,2.14,0.495,0.102,0.017,7,0.7
58,S_occipital_ant,780,516,1116,2.455,0.379,0.129,0.024,9,0.7
59,S_oc-temp_lat,776,548,1219,2.5839999999999996,0.41100000000000003,0.113,0.025,6,0.8
60,S_oc-temp_med&Lingual,1721,1228,2681,2.4419999999999997,0.45399999999999996,0.105,0.018000000000000002,10,1.3
61,S_orbital_lateral,345,231,444,2.214,0.34700000000000003,0.111,0.015,2,0.2
62,S_orbital_med-olfact,509,360,775,2.458,0.47200000000000003,0.13,0.022000000000000002,5,0.4
63,S_orbital-H_Shaped,1281,871,2517,2.9160000000000004,0.698,0.138,0.033,14,1.8
64,S_parieto_occipital,1536,1038,2232,2.3169999999999997,0.47,0.11,0.022000000000000002,12,1.4
65,S_pericallosal,1244,716,793,1.4609999999999999,0.85,0.134,0.025,30,1.1
66,S_postcentral,2767,1881,3855,2.1,0.484,0.10300000000000001,0.018000000000000002,20,1.8
67,S_precentral-inf-part,1477,977,2262,2.459,0.44,0.105,0.021,11,1.2
68,S_precentral-sup-part,1254,836,1628,2.221,0.524,0.11800000000000001,0.019,10,1.1
69,S_suborbital,477,342,760,2.675,0.7509999999999999,0.13699999999999998,0.018000000000000002,5,0.4
70,S_subparietal,851,598,1199,2.27,0.48700000000000004,0.132,0.027000000000000003,9,1.0
71,S_temporal_inf,1497,1060,2277,2.617,0.444,0.122,0.02,12,1.3
72,S_temporal_sup,4755,3271,8046,2.636,0.408,0.10400000000000001,0.017,32,3.6
73,S_temporal_transverse,222,168,425,2.787,0.461,0.092,0.011000000000000001,1,0.1
