,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,819,546,1562,2.479,0.607,0.157,0.051,16,1.7
1,G&S_occipital_inf,937,613,1624,2.475,0.441,0.142,0.034,14,1.2
2,G&S_paracentral,1158,621,1754,2.3369999999999997,0.563,0.111,0.04,18,1.7
3,G&S_subcentral,1201,748,2561,2.9760000000000004,0.6659999999999999,0.142,0.032,19,1.6
4,G&S_transv_frontopol,1060,698,2326,2.52,0.613,0.168,0.047,23,2.3
5,G&S_cingul-Ant,2650,1732,5327,3.013,0.5539999999999999,0.129,0.03,37,3.1
6,G&S_cingul-Mid-Ant,1204,802,2442,2.8539999999999996,0.499,0.122,0.025,11,1.2
7,G&S_cingul-Mid-Post,1156,790,2118,2.548,0.5,0.128,0.027999999999999997,14,1.2
8,G_cingul-Post-dorsal,422,273,1140,2.865,0.705,0.17300000000000001,0.048,11,0.8
9,G_cingul-Post-ventral,300,167,567,2.353,0.7440000000000001,0.13,0.027999999999999997,5,0.3
10,G_cuneus,2046,1246,2491,1.787,0.607,0.133,0.032,30,2.6
11,G_front_inf-Opercular,1239,803,2886,2.86,0.44799999999999995,0.129,0.028999999999999998,18,1.4
12,G_front_inf-Orbital,432,261,1109,2.9389999999999996,0.396,0.16399999999999998,0.044000000000000004,10,0.8
13,G_front_inf-Triangul,897,578,2258,2.8819999999999997,0.575,0.157,0.040999999999999995,17,1.4
14,G_front_middle,3535,2300,8243,2.7319999999999998,0.509,0.155,0.040999999999999995,71,5.7
15,G_front_sup,5695,3605,13084,2.86,0.6809999999999999,0.13699999999999998,0.042,90,9.9
16,G_Ins_lg&S_cent_ins,477,323,1126,3.361,0.767,0.127,0.038,7,0.7
17,G_insular_short,451,277,1498,3.6630000000000003,0.706,0.136,0.04,11,0.8
18,G_occipital_middle,1513,969,3623,2.7110000000000003,0.466,0.14800000000000002,0.04,32,2.4
19,G_occipital_sup,1610,964,2980,2.356,0.521,0.13699999999999998,0.033,27,2.1
20,G_oc-temp_lat-fusifor,1702,1051,3896,2.968,0.584,0.14300000000000002,0.033,32,2.2
