,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1123,808,2263,2.36,0.616,0.158,0.035,20,1.8
1,G&S_occipital_inf,1808,1177,3498,2.477,0.55,0.139,0.027999999999999997,27,2.0
2,G&S_paracentral,1403,763,2325,2.456,0.621,0.10300000000000001,0.023,15,1.3
3,G&S_subcentral,1599,1090,3545,2.676,0.457,0.133,0.025,24,1.6
4,G&S_transv_frontopol,645,453,1498,2.5669999999999997,0.426,0.16399999999999998,0.038,14,1.1
5,G&S_cingul-Ant,2082,1448,4240,2.7030000000000003,0.455,0.134,0.035,34,2.6
6,G&S_cingul-Mid-Ant,1317,886,2131,2.44,0.396,0.128,0.023,17,1.2
7,G&S_cingul-Mid-Post,1299,902,2361,2.435,0.44799999999999995,0.129,0.023,15,1.1
8,G_cingul-Post-dorsal,662,446,1882,2.9130000000000003,0.46,0.14800000000000002,0.042,16,1.0
9,G_cingul-Post-ventral,267,187,649,2.678,0.8640000000000001,0.156,0.039,5,0.4
10,G_cuneus,2350,1568,3231,1.795,0.455,0.152,0.037000000000000005,45,3.6
11,G_front_inf-Opercular,1329,871,3264,2.863,0.441,0.11800000000000001,0.022000000000000002,23,1.1
12,G_front_inf-Orbital,431,279,1199,3.1039999999999996,0.46,0.134,0.028999999999999998,8,0.5
13,G_front_inf-Triangul,1143,769,2836,2.7039999999999997,0.469,0.14400000000000002,0.027999999999999997,24,1.3
14,G_front_middle,3726,2439,8157,2.614,0.48700000000000004,0.136,0.028999999999999998,68,4.1
15,G_front_sup,6737,4376,15289,2.738,0.521,0.12300000000000001,0.025,90,6.4
16,G_Ins_lg&S_cent_ins,780,509,1597,2.945,0.7,0.124,0.037000000000000005,11,1.1
17,G_insular_short,724,466,2140,3.508,0.7120000000000001,0.12300000000000001,0.07,35,3.0
18,G_occipital_middle,2169,1380,4617,2.549,0.495,0.142,0.03,38,2.7
19,G_occipital_sup,1431,922,2727,2.42,0.5579999999999999,0.128,0.027999999999999997,19,1.4
20,G_oc-temp_lat-fusifor,1924,1214,4700,3.0460000000000003,0.606,0.136,0.033,35,2.5
21,G_oc-temp_med-Lingual,3422,2173,5595,2.146,0.659,0.147,0.042,57,5.7
22,G_oc-temp_med-Parahip,1195,790,3472,3.312,0.677,0.113,0.027999999999999997,12,1.2
23,G_orbital,2545,1663,6669,2.867,0.626,0.14,0.034,53,3.2
24,G_pariet_inf-Angular,3537,2363,8099,2.6060000000000003,0.523,0.146,0.031,75,4.2
25,G_pariet_inf-Supramar,2830,1934,6547,2.752,0.515,0.141,0.027999999999999997,54,3.2
26,G_parietal_sup,2783,1788,5273,2.347,0.442,0.12,0.025,44,2.6
27,G_postcentral,2132,1224,3623,2.289,0.503,0.125,0.027000000000000003,30,2.3
28,G_precentral,2935,1582,6455,3.0460000000000003,0.45399999999999996,0.105,0.024,36,2.9
29,G_precuneus,2682,1715,5948,2.611,0.47600000000000003,0.146,0.03,54,3.1
30,G_rectus,1077,753,2539,2.484,0.49,0.13699999999999998,0.03,25,1.4
31,G_subcallosal,942,614,1364,2.086,1.21,0.1,0.044000000000000004,13,1.1
32,G_temp_sup-G_T_transv,423,241,934,2.845,0.379,0.13699999999999998,0.040999999999999995,8,0.5
33,G_temp_sup-Lateral,2243,1420,6414,3.165,0.5539999999999999,0.142,0.03,41,2.7
34,G_temp_sup-Plan_polar,733,494,2015,3.593,0.525,0.08,0.016,3,0.4
35,G_temp_sup-Plan_tempo,1199,774,2424,2.719,0.467,0.122,0.023,18,1.1
36,G_temporal_inf,3056,2113,8350,2.858,0.7190000000000001,0.15,0.039,77,4.5
37,G_temporal_middle,2823,1901,8684,3.18,0.618,0.152,0.036000000000000004,63,4.2
38,Lat_Fis-ant-Horizont,356,242,506,2.339,0.294,0.10099999999999999,0.015,2,0.2
39,Lat_Fis-ant-Vertical,335,244,523,2.408,0.36,0.086,0.011000000000000001,1,0.2
40,Lat_Fis-post,997,673,1279,2.346,0.368,0.11599999999999999,0.022000000000000002,7,1.0
41,Pole_occipital,2498,1568,3567,1.93,0.48200000000000004,0.136,0.03,50,2.8
42,Pole_temporal,1792,1222,5841,3.423,0.633,0.133,0.034,25,2.4
43,S_calcarine,2708,1869,3142,1.901,0.525,0.126,0.023,29,2.7
44,S_central,3101,2008,3822,2.1319999999999997,0.608,0.1,0.021,20,2.8
45,S_cingul-Marginalis,945,658,1337,2.3080000000000003,0.45399999999999996,0.109,0.02,6,0.9
46,S_circular_insula_ant,548,389,989,3.0469999999999997,0.457,0.10300000000000001,0.022000000000000002,2,0.6
47,S_circular_insula_inf,1355,889,2148,2.925,0.5770000000000001,0.094,0.021,7,1.2
48,S_circular_insula_sup,1694,1181,2414,2.4730000000000003,0.46299999999999997,0.098,0.017,7,1.3
49,S_collat_transv_ant,958,690,1759,2.8569999999999998,0.39799999999999996,0.12,0.02,9,0.8
50,S_collat_transv_post,617,419,790,2.262,0.415,0.139,0.027000000000000003,6,0.7
51,S_front_inf,1791,1247,2721,2.241,0.381,0.11,0.018000000000000002,14,1.4
52,S_front_middle,1207,844,1934,2.251,0.469,0.128,0.024,12,1.3
53,S_front_sup,2828,1952,4636,2.459,0.33799999999999997,0.102,0.017,19,2.0
54,S_interm_prim-Jensen,832,584,988,2.094,0.395,0.121,0.022000000000000002,5,0.8
55,S_intrapariet&P_trans,3235,2160,4221,2.171,0.32799999999999996,0.109,0.017,26,2.4
56,S_oc_middle&Lunatus,1154,796,1547,2.119,0.41200000000000003,0.146,0.032,15,1.5
57,S_oc_sup&transversal,1286,882,1648,2.1180000000000003,0.335,0.11,0.018000000000000002,9,0.9
58,S_occipital_ant,805,562,1150,2.367,0.321,0.11900000000000001,0.019,6,0.7
59,S_oc-temp_lat,1286,877,1864,2.339,0.349,0.1,0.015,9,0.9
60,S_oc-temp_med&Lingual,2008,1402,3094,2.431,0.425,0.11800000000000001,0.022000000000000002,16,1.8
