,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,911,652,1815,2.34,0.542,0.14400000000000002,0.032,13,1.2
1,G&S_occipital_inf,1605,1040,3229,2.64,0.522,0.131,0.03,23,1.7
2,G&S_paracentral,1339,716,2182,2.448,0.526,0.109,0.023,14,1.3
3,G&S_subcentral,1239,855,2600,2.702,0.419,0.129,0.027000000000000003,17,1.2
4,G&S_transv_frontopol,1107,747,2379,2.399,0.5770000000000001,0.159,0.038,31,1.6
5,G&S_cingul-Ant,2624,1846,5075,2.55,0.6,0.138,0.03,42,3.3
6,G&S_cingul-Mid-Ant,1190,811,2128,2.451,0.503,0.12300000000000001,0.025,14,1.2
7,G&S_cingul-Mid-Post,1045,719,1807,2.359,0.56,0.11699999999999999,0.023,8,0.9
8,G_cingul-Post-dorsal,672,416,1713,2.906,0.557,0.168,0.047,18,1.3
9,G_cingul-Post-ventral,316,181,688,2.741,0.674,0.135,0.048,7,0.6
10,G_cuneus,2726,1670,4544,2.1180000000000003,0.665,0.14300000000000002,0.037000000000000005,41,4.1
11,G_front_inf-Opercular,1629,1094,4001,2.792,0.529,0.127,0.025,30,1.6
12,G_front_inf-Orbital,500,328,1068,2.464,0.515,0.159,0.037000000000000005,10,0.8
13,G_front_inf-Triangul,878,621,2113,2.6189999999999998,0.42,0.154,0.037000000000000005,19,1.0
14,G_front_middle,2786,1783,6810,2.7289999999999996,0.444,0.139,0.035,57,3.6
15,G_front_sup,6556,4264,14557,2.6660000000000004,0.569,0.131,0.03,117,7.9
16,G_Ins_lg&S_cent_ins,768,502,1701,3.1510000000000002,0.899,0.125,0.04,10,0.8
17,G_insular_short,689,408,2095,3.77,0.653,0.11199999999999999,0.027000000000000003,9,0.8
18,G_occipital_middle,2778,1716,6686,2.807,0.509,0.138,0.027999999999999997,46,3.0
19,G_occipital_sup,1863,1152,3314,2.3,0.6759999999999999,0.13699999999999998,0.027999999999999997,29,2.1
20,G_oc-temp_lat-fusifor,2239,1384,5601,3.057,0.619,0.133,0.035,42,2.8
21,G_oc-temp_med-Lingual,3568,2190,5893,2.292,0.79,0.132,0.038,56,5.3
22,G_oc-temp_med-Parahip,1311,801,3420,2.8989999999999996,0.815,0.109,0.038,16,2.3
23,G_orbital,3099,2081,7519,2.693,0.623,0.145,0.035,69,4.2
24,G_pariet_inf-Angular,3799,2443,9204,2.741,0.541,0.135,0.028999999999999998,65,4.3
25,G_pariet_inf-Supramar,2590,1710,5869,2.7760000000000002,0.47,0.13699999999999998,0.027000000000000003,41,2.9
26,G_parietal_sup,2648,1608,4896,2.364,0.45,0.121,0.023,42,2.4
27,G_postcentral,2253,1278,3846,2.28,0.405,0.113,0.021,29,1.9
28,G_precentral,2861,1511,5816,2.841,0.376,0.09300000000000001,0.018000000000000002,29,2.1
29,G_precuneus,2510,1629,5481,2.5989999999999998,0.514,0.134,0.027000000000000003,46,2.7
30,G_rectus,970,684,2609,2.6860000000000004,0.494,0.13699999999999998,0.035,23,1.3
31,G_subcallosal,872,548,1050,1.902,1.179,0.11699999999999999,0.059000000000000004,15,1.9
32,G_temp_sup-G_T_transv,342,198,625,2.616,0.33399999999999996,0.151,0.040999999999999995,11,0.5
33,G_temp_sup-Lateral,1745,1084,4420,2.995,0.596,0.125,0.025,27,1.7
34,G_temp_sup-Plan_polar,1148,782,2928,3.283,0.647,0.11800000000000001,0.034,11,1.4
35,G_temp_sup-Plan_tempo,663,437,1349,2.6660000000000004,0.469,0.124,0.02,9,0.4
36,G_temporal_inf,2967,1939,8279,3.056,0.753,0.142,0.039,66,4.4
37,G_temporal_middle,3045,2052,8683,3.08,0.579,0.131,0.027999999999999997,53,3.0
38,Lat_Fis-ant-Horizont,509,362,887,2.4330000000000003,0.361,0.099,0.015,3,0.2
39,Lat_Fis-ant-Vertical,192,151,307,2.329,0.467,0.10300000000000001,0.013999999999999999,1,0.2
40,Lat_Fis-post,1181,809,1620,2.4090000000000003,0.387,0.11199999999999999,0.02,9,0.9
41,Pole_occipital,3899,2451,5761,2.037,0.541,0.142,0.032,60,5.0
42,Pole_temporal,2271,1537,7047,3.194,0.599,0.14300000000000002,0.047,54,3.9
43,S_calcarine,2295,1585,2847,2.1069999999999998,0.631,0.124,0.027000000000000003,20,2.5
44,S_central,3051,1991,3699,2.109,0.619,0.094,0.017,15,2.2
45,S_cingul-Marginalis,1087,771,1611,2.253,0.41100000000000003,0.107,0.017,7,0.8
46,S_circular_insula_ant,772,528,1167,2.772,0.506,0.111,0.018000000000000002,4,0.7
47,S_circular_insula_inf,1054,726,1826,2.8310000000000004,0.6859999999999999,0.09300000000000001,0.015,5,0.7
48,S_circular_insula_sup,1542,1047,2506,2.76,0.433,0.092,0.015,6,1.0
49,S_collat_transv_ant,923,654,1615,2.6439999999999997,0.483,0.124,0.034,12,1.2
50,S_collat_transv_post,629,431,897,2.51,0.35700000000000004,0.14400000000000002,0.03,6,0.8
51,S_front_inf,2039,1381,3042,2.2680000000000002,0.43200000000000005,0.102,0.019,13,1.4
52,S_front_middle,1727,1227,2344,2.037,0.39399999999999996,0.114,0.02,11,1.5
53,S_front_sup,2222,1518,3700,2.444,0.382,0.11199999999999999,0.021,20,1.9
54,S_interm_prim-Jensen,684,476,868,2.235,0.281,0.09699999999999999,0.012,3,0.3
55,S_intrapariet&P_trans,3768,2489,5241,2.206,0.342,0.096,0.013999999999999999,24,2.1
56,S_oc_middle&Lunatus,920,638,1120,2.057,0.354,0.11800000000000001,0.025,7,0.9
57,S_oc_sup&transversal,1745,1150,2324,2.254,0.327,0.11900000000000001,0.023,15,1.6
58,S_occipital_ant,958,632,1736,2.7039999999999997,0.41,0.11599999999999999,0.021,8,0.8
59,S_oc-temp_lat,1414,954,2189,2.56,0.368,0.091,0.013999999999999999,7,0.8
60,S_oc-temp_med&Lingual,2186,1596,3538,2.4859999999999998,0.479,0.113,0.022000000000000002,16,1.9
61,S_orbital_lateral,518,365,713,2.0269999999999997,0.455,0.11,0.017,3,0.4
62,S_orbital_med-olfact,865,600,1196,2.315,0.574,0.105,0.023,6,0.8
63,S_orbital-H_Shaped,1369,949,2350,2.4130000000000003,0.491,0.11800000000000001,0.023,12,1.2
