,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1009,724,1727,2.055,0.585,0.146,0.031,19,1.2
1,G&S_occipital_inf,1838,1229,3644,2.637,0.43700000000000006,0.13,0.025,23,1.8
2,G&S_paracentral,1728,981,3277,2.72,0.511,0.10800000000000001,0.022000000000000002,18,1.5
3,G&S_subcentral,1543,1056,2930,2.512,0.461,0.132,0.024,21,1.5
4,G&S_transv_frontopol,1592,1058,3290,2.4530000000000003,0.502,0.162,0.040999999999999995,41,2.9
5,G&S_cingul-Ant,3253,2222,5996,2.491,0.53,0.11599999999999999,0.022000000000000002,35,2.9
6,G&S_cingul-Mid-Ant,1586,1090,2906,2.633,0.359,0.11599999999999999,0.02,17,1.3
7,G&S_cingul-Mid-Post,1534,1030,3073,2.7319999999999998,0.581,0.129,0.025,17,1.4
8,G_cingul-Post-dorsal,593,389,1645,2.905,0.5539999999999999,0.152,0.037000000000000005,12,1.0
9,G_cingul-Post-ventral,419,279,981,2.577,0.722,0.134,0.037000000000000005,7,0.6
10,G_cuneus,2919,1882,4849,2.189,0.546,0.147,0.035,50,4.0
11,G_front_inf-Opercular,1530,986,3706,2.842,0.441,0.131,0.028999999999999998,29,1.6
12,G_front_inf-Orbital,591,388,1358,2.543,0.46799999999999997,0.149,0.034,13,0.7
13,G_front_inf-Triangul,1000,665,2177,2.66,0.48200000000000004,0.136,0.028999999999999998,17,1.2
14,G_front_middle,3631,2286,8304,2.66,0.46299999999999997,0.141,0.032,74,4.5
15,G_front_sup,6423,4165,15052,2.8939999999999997,0.504,0.135,0.027999999999999997,93,7.3
16,G_Ins_lg&S_cent_ins,804,513,1693,2.886,0.8190000000000001,0.149,0.06,17,1.7
17,G_insular_short,986,612,2403,3.05,0.9359999999999999,0.12300000000000001,0.06,36,2.9
18,G_occipital_middle,2684,1679,5972,2.7089999999999996,0.45899999999999996,0.15,0.032,57,3.2
19,G_occipital_sup,1833,1129,3440,2.524,0.455,0.147,0.031,32,2.1
