,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1273,880,2166,2.2030000000000003,0.474,0.134,0.025,17,1.5
1,G&S_occipital_inf,2083,1364,4092,2.596,0.523,0.14300000000000002,0.031,32,2.5
2,G&S_paracentral,1494,885,3025,2.702,0.5539999999999999,0.11,0.022000000000000002,16,1.3
3,G&S_subcentral,1289,869,2967,2.898,0.45799999999999996,0.125,0.025,15,1.2
4,G&S_transv_frontopol,872,604,2079,2.6889999999999996,0.452,0.171,0.040999999999999995,20,1.4
5,G&S_cingul-Ant,2089,1462,4473,2.8480000000000003,0.40700000000000003,0.128,0.027000000000000003,27,2.1
6,G&S_cingul-Mid-Ant,1165,797,2076,2.614,0.428,0.114,0.021,11,0.9
7,G&S_cingul-Mid-Post,1099,780,2091,2.602,0.467,0.124,0.023,10,1.0
8,G_cingul-Post-dorsal,684,446,1668,2.845,0.526,0.146,0.036000000000000004,12,0.9
9,G_cingul-Post-ventral,496,305,913,2.418,0.758,0.127,0.035,9,0.5
10,G_cuneus,2567,1582,4061,2.187,0.483,0.139,0.034,38,3.6
11,G_front_inf-Opercular,1504,936,3635,3.04,0.433,0.132,0.025,25,1.5
12,G_front_inf-Orbital,512,335,1364,2.991,0.5579999999999999,0.153,0.031,11,0.6
13,G_front_inf-Triangul,1322,854,3155,2.699,0.505,0.129,0.027000000000000003,24,1.3
14,G_front_middle,5436,3493,12340,2.713,0.5329999999999999,0.13699999999999998,0.027999999999999997,102,5.8
15,G_front_sup,7091,4685,16531,2.9360000000000004,0.503,0.133,0.026000000000000002,93,7.6
16,G_Ins_lg&S_cent_ins,762,477,1705,3.2439999999999998,0.7170000000000001,0.149,0.052000000000000005,15,1.5
17,G_insular_short,789,497,2148,3.266,0.54,0.124,0.042,12,1.4
18,G_occipital_middle,2638,1631,5690,2.633,0.45799999999999996,0.138,0.028999999999999998,50,2.9
19,G_occipital_sup,2016,1268,3721,2.3819999999999997,0.5770000000000001,0.134,0.025,29,2.0
20,G_oc-temp_lat-fusifor,1963,1284,4644,2.812,0.495,0.138,0.031,35,2.2
21,G_oc-temp_med-Lingual,4188,2648,6872,2.195,0.691,0.149,0.040999999999999995,72,6.6
22,G_oc-temp_med-Parahip,1422,910,3862,3.307,0.746,0.115,0.03,15,1.6
23,G_orbital,2978,1930,6727,2.6660000000000004,0.591,0.135,0.034,57,3.7
24,G_pariet_inf-Angular,2904,1866,7331,2.929,0.465,0.135,0.027000000000000003,49,3.0
25,G_pariet_inf-Supramar,2745,1804,6567,2.863,0.48100000000000004,0.14,0.03,47,3.2
26,G_parietal_sup,2632,1744,5675,2.611,0.466,0.134,0.027000000000000003,39,2.6
27,G_postcentral,2284,1317,4718,2.7089999999999996,0.573,0.129,0.028999999999999998,34,2.5
28,G_precentral,2449,1354,5797,3.045,0.467,0.099,0.024,31,2.4
29,G_precuneus,3008,1966,6498,2.594,0.455,0.14800000000000002,0.03,61,3.4
30,G_rectus,1087,759,2679,2.673,0.584,0.15,0.032,29,1.3
31,G_subcallosal,473,306,758,2.204,0.877,0.09300000000000001,0.03,5,0.4
