,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,984,689,2720,3.0210000000000004,0.7240000000000001,0.149,0.04,18,1.8
1,G&S_occipital_inf,1316,852,3127,3.0780000000000003,0.406,0.13,0.024,19,1.2
2,G&S_paracentral,1574,1002,3043,2.403,0.731,0.132,0.040999999999999995,20,2.6
3,G&S_subcentral,1616,1083,3837,3.133,0.48700000000000004,0.13699999999999998,0.034,31,2.5
4,G&S_transv_frontopol,1395,965,3803,2.838,0.632,0.149,0.04,31,2.2
5,G&S_cingul-Ant,3456,2349,7894,3.111,0.535,0.121,0.027000000000000003,42,4.1
6,G&S_cingul-Mid-Ant,1612,1081,3788,3.225,0.56,0.11900000000000001,0.022000000000000002,16,1.4
7,G&S_cingul-Mid-Post,1544,1056,3256,3.0269999999999997,0.444,0.128,0.024,19,1.6
8,G_cingul-Post-dorsal,764,483,2332,3.4930000000000003,0.691,0.162,0.043,18,1.3
9,G_cingul-Post-ventral,388,241,1019,2.907,0.8109999999999999,0.138,0.033,8,0.3
10,G_cuneus,2679,1735,4262,2.15,0.687,0.14400000000000002,0.032,39,3.6
11,G_front_inf-Opercular,1496,986,4456,3.306,0.514,0.138,0.037000000000000005,35,1.9
12,G_front_inf-Orbital,517,342,1637,3.362,0.462,0.157,0.037000000000000005,14,0.8
13,G_front_inf-Triangul,1136,787,3468,3.19,0.585,0.15,0.04,26,2.1
14,G_front_middle,5191,3363,16059,3.154,0.6709999999999999,0.153,0.04,131,8.3
15,G_front_sup,7723,4952,22775,3.3080000000000003,0.7929999999999999,0.133,0.035,130,11.3
16,G_Ins_lg&S_cent_ins,703,474,2118,3.845,0.706,0.13,0.039,11,0.9
17,G_insular_short,708,427,2450,3.7969999999999997,0.626,0.124,0.038,14,1.1
18,G_occipital_middle,3341,2117,8978,3.128,0.514,0.149,0.033,65,4.6
19,G_occipital_sup,1954,1231,5167,2.98,0.736,0.155,0.04,35,3.1
20,G_oc-temp_lat-fusifor,2230,1423,6334,3.2239999999999998,0.715,0.14400000000000002,0.04,53,3.4
21,G_oc-temp_med-Lingual,3447,2310,6355,2.211,0.804,0.15,0.040999999999999995,58,5.7
