,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1455,1013,3414,2.889,0.583,0.14400000000000002,0.039,23,2.8
1,G&S_occipital_inf,1589,1024,3517,2.766,0.531,0.136,0.028999999999999998,26,1.7
2,G&S_paracentral,2124,1238,4076,2.654,0.6940000000000001,0.11900000000000001,0.036000000000000004,30,3.5
3,G&S_subcentral,1875,1231,4451,3.085,0.652,0.11900000000000001,0.022000000000000002,23,1.6
4,G&S_transv_frontopol,799,560,2522,3.117,0.733,0.171,0.054000000000000006,25,1.8
5,G&S_cingul-Ant,2502,1731,5863,3.094,0.593,0.128,0.027999999999999997,34,2.9
6,G&S_cingul-Mid-Ant,1584,1067,3570,3.0869999999999997,0.53,0.109,0.022000000000000002,15,1.5
7,G&S_cingul-Mid-Post,1694,1173,3654,3.062,0.53,0.12300000000000001,0.027999999999999997,24,1.8
8,G_cingul-Post-dorsal,649,453,2272,3.455,0.7090000000000001,0.158,0.052000000000000005,17,1.0
9,G_cingul-Post-ventral,284,179,639,2.722,0.835,0.14,0.038,5,0.4
10,G_cuneus,2696,1755,4298,2.075,0.67,0.151,0.033,42,3.6
11,G_front_inf-Opercular,1550,986,4762,3.262,0.539,0.13,0.03,31,1.8
12,G_front_inf-Orbital,435,287,1375,3.2760000000000002,0.49,0.172,0.039,12,0.6
13,G_front_inf-Triangul,1094,742,3316,3.043,0.511,0.134,0.027999999999999997,18,1.3
14,G_front_middle,6114,3807,18005,3.237,0.71,0.139,0.033,130,8.0
15,G_front_sup,8347,5389,25261,3.46,0.631,0.133,0.033,125,10.7
16,G_Ins_lg&S_cent_ins,898,560,2182,3.536,0.82,0.151,0.065,20,2.1
17,G_insular_short,779,475,2847,3.9530000000000003,0.7040000000000001,0.132,0.045,15,1.4
18,G_occipital_middle,2244,1319,5304,2.9360000000000004,0.578,0.127,0.03,38,2.5
19,G_occipital_sup,1518,948,3899,2.923,1.0090000000000001,0.129,0.026000000000000002,22,1.6
20,G_oc-temp_lat-fusifor,2414,1493,6934,3.262,0.68,0.142,0.038,47,3.7
21,G_oc-temp_med-Lingual,3465,2192,5810,2.22,0.7909999999999999,0.151,0.040999999999999995,59,5.9
22,G_oc-temp_med-Parahip,1132,729,3198,3.33,0.753,0.094,0.019,9,0.8
23,G_orbital,2369,1634,7934,3.415,0.638,0.156,0.039,54,3.8
24,G_pariet_inf-Angular,3341,2159,9439,3.2569999999999997,0.601,0.141,0.034,73,4.4
25,G_pariet_inf-Supramar,3843,2584,11305,3.258,0.647,0.13699999999999998,0.028999999999999998,70,4.3
26,G_parietal_sup,3545,2321,10538,3.057,0.639,0.146,0.033,68,4.5
27,G_postcentral,2972,1608,4568,2.352,0.725,0.12300000000000001,0.043,43,5.3
28,G_precentral,3249,1868,8280,3.13,0.7909999999999999,0.11900000000000001,0.033,48,4.4
29,G_precuneus,2610,1720,7231,3.016,0.565,0.138,0.032,57,3.1
30,G_rectus,860,628,2501,2.931,0.7559999999999999,0.156,0.043,28,1.3
31,G_subcallosal,711,469,1251,2.6430000000000002,0.98,0.096,0.036000000000000004,6,0.8
32,G_temp_sup-G_T_transv,543,335,1074,2.673,0.596,0.13699999999999998,0.039,10,0.8
33,G_temp_sup-Lateral,2454,1569,8458,3.536,0.737,0.129,0.028999999999999998,46,2.7
34,G_temp_sup-Plan_polar,745,501,2348,3.8339999999999996,0.551,0.081,0.017,3,0.5
35,G_temp_sup-Plan_tempo,1322,882,2973,3.015,0.552,0.115,0.018000000000000002,18,1.0
36,G_temporal_inf,3255,2044,9505,3.196,0.912,0.141,0.045,73,6.3
37,G_temporal_middle,3166,2084,10939,3.57,0.669,0.132,0.027000000000000003,58,3.4
38,Lat_Fis-ant-Horizont,343,242,501,2.2840000000000003,0.359,0.091,0.009000000000000001,2,0.1
39,Lat_Fis-ant-Vertical,430,313,728,2.673,0.385,0.096,0.012,2,0.3
40,Lat_Fis-post,1132,792,1728,2.633,0.449,0.11199999999999999,0.019,9,0.9
41,Pole_occipital,2456,1390,3239,2.075,0.59,0.142,0.04,39,4.3
42,Pole_temporal,1673,1150,6200,3.612,0.713,0.128,0.037000000000000005,25,2.5
43,S_calcarine,2650,1850,3226,2.097,0.6,0.138,0.033,28,3.6
44,S_central,3341,2314,4600,2.2969999999999997,0.685,0.096,0.015,18,1.9
45,S_cingul-Marginalis,1118,752,1653,2.6260000000000003,0.298,0.096,0.012,6,0.6
46,S_circular_insula_ant,548,366,924,3.427,0.32299999999999995,0.11699999999999999,0.021,4,0.5
47,S_circular_insula_inf,1740,1135,2805,3.045,0.66,0.096,0.015,11,1.1
48,S_circular_insula_sup,1963,1321,3037,2.838,0.462,0.10099999999999999,0.017,10,1.5
49,S_collat_transv_ant,826,584,1527,3.125,0.631,0.11,0.02,5,0.6
50,S_collat_transv_post,647,438,917,2.506,0.551,0.133,0.022000000000000002,7,0.7
51,S_front_inf,2363,1605,4047,2.755,0.405,0.109,0.019,17,1.8
52,S_front_middle,1397,982,2377,2.609,0.434,0.11599999999999999,0.025,13,1.2
53,S_front_sup,3478,2320,6342,2.9930000000000003,0.36,0.09699999999999999,0.016,22,2.2
54,S_interm_prim-Jensen,699,479,1072,2.9789999999999996,0.42700000000000005,0.10400000000000001,0.012,4,0.5
55,S_intrapariet&P_trans,3640,2415,5831,2.668,0.377,0.095,0.013000000000000001,20,1.9
56,S_oc_middle&Lunatus,1427,955,1952,2.428,0.395,0.102,0.02,9,1.0
57,S_oc_sup&transversal,1158,794,1700,2.474,0.33399999999999996,0.098,0.016,7,0.6
58,S_occipital_ant,611,401,1166,2.9189999999999996,0.619,0.122,0.03,6,0.6
59,S_oc-temp_lat,1149,799,2044,2.8710000000000004,0.439,0.111,0.02,8,0.9
60,S_oc-temp_med&Lingual,2205,1509,3598,2.7560000000000002,0.502,0.099,0.016,12,1.5
61,S_orbital_lateral,449,308,702,2.7310000000000003,0.523,0.11599999999999999,0.028999999999999998,3,0.4
62,S_orbital_med-olfact,750,541,1122,2.45,0.44799999999999995,0.129,0.024,7,0.7
63,S_orbital-H_Shaped,1569,1069,3238,2.9810000000000003,0.677,0.12300000000000001,0.034,19,1.9
64,S_parieto_occipital,2765,1861,4457,2.734,0.406,0.11199999999999999,0.02,25,2.4
65,S_pericallosal,1703,1051,1552,1.765,0.6890000000000001,0.126,0.017,27,1.0
66,S_postcentral,4114,2835,7077,2.5669999999999997,0.418,0.11,0.019,38,3.2
67,S_precentral-inf-part,1733,1174,2983,2.82,0.474,0.095,0.013000000000000001,10,0.8
68,S_precentral-sup-part,1085,769,2016,2.915,0.39,0.095,0.013999999999999999,5,0.6
69,S_suborbital,786,529,1534,3.054,0.6829999999999999,0.111,0.027000000000000003,9,0.9
70,S_subparietal,1059,731,1599,2.5540000000000003,0.37200000000000005,0.124,0.027000000000000003,9,1.2
71,S_temporal_inf,1828,1262,3476,3.094,0.488,0.11199999999999999,0.017,12,1.4
72,S_temporal_sup,7599,5203,14251,2.864,0.47,0.098,0.016,63,4.4
73,S_temporal_transverse,328,224,633,2.718,0.35200000000000004,0.102,0.01,3,0.1
