,structure_name,number_of_vertices,surface_area_mm^2,gray_matter_volume_mm^3,average_thickness_mm,thickness_stddev_mm,integrated_rectified_mean_curvature_mm^-1,integrated_rectified_gaussian_curvature_mm^-2,folding_index,intrinsic_curvature_index
0,G&S_frontomargin,1229,850,2266,2.4730000000000003,0.5529999999999999,0.135,0.034,17,1.6
1,G&S_occipital_inf,2378,1589,4808,2.676,0.602,0.151,0.032,41,3.1
2,G&S_paracentral,1644,896,2760,2.49,0.608,0.11199999999999999,0.027999999999999997,19,1.8
3,G&S_subcentral,1700,1142,4262,3.023,0.501,0.13699999999999998,0.028999999999999998,28,1.9
4,G&S_transv_frontopol,917,653,2083,2.467,0.506,0.156,0.031,20,1.2
5,G&S_cingul-Ant,3298,2239,6608,2.7769999999999997,0.532,0.131,0.036000000000000004,59,4.7
6,G&S_cingul-Mid-Ant,1735,1145,3159,2.803,0.494,0.113,0.023,21,1.7
7,G&S_cingul-Mid-Post,1808,1188,3424,2.7489999999999997,0.506,0.133,0.028999999999999998,22,2.1
8,G_cingul-Post-dorsal,940,602,2154,2.7689999999999997,0.6809999999999999,0.149,0.040999999999999995,15,1.5
9,G_cingul-Post-ventral,473,308,1034,2.5780000000000003,0.991,0.154,0.066,11,1.7
10,G_cuneus,2533,1653,3618,1.851,0.516,0.155,0.036000000000000004,44,3.9
11,G_front_inf-Opercular,1473,956,3641,2.89,0.35700000000000004,0.12300000000000001,0.024,22,1.4
12,G_front_inf-Orbital,482,304,1261,2.9410000000000003,0.473,0.138,0.034,9,0.6
13,G_front_inf-Triangul,1478,958,3691,2.7969999999999997,0.6,0.136,0.032,23,2.2
14,G_front_middle,5685,3586,13654,2.833,0.5720000000000001,0.14,0.035,108,7.6
15,G_front_sup,9120,5832,23100,3.062,0.5820000000000001,0.133,0.031,146,11.8
16,G_Ins_lg&S_cent_ins,930,607,2066,3.2680000000000002,0.682,0.139,0.063,17,3.0
17,G_insular_short,936,618,2892,3.3810000000000002,0.6890000000000001,0.153,0.053,23,2.0
18,G_occipital_middle,2006,1290,4510,2.76,0.47200000000000003,0.156,0.035,39,2.8
19,G_occipital_sup,1662,1073,3210,2.5,0.698,0.138,0.027999999999999997,22,1.9
